commentId,videoId,videoUrl,commenterUsername,commenterNickname,commenterUid,commentText,likes,replyCount,commentDate,scrapeDate
"7554340240233972487","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","ayuu.ajaa49","ayuu ajaa💥⚡🔥✨","7520519241495233544","lagi mikirin nangkep nya gimana🗿😭","242","25","2025-09-26T10:18:28.000Z","2026-04-10T03:05:41.984Z"
"7554381378545992456","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","franklinbroo222","GransKlin","6594442336679755778","jirr mbg beli daging ikan hiu? gak mahal tuh harganya??","35","7","2025-09-26T12:58:05.000Z","2026-04-10T03:05:41.984Z"
"7554355769640207111","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","littleyappyy","CEOmimin😱","7401390999848797190","ga sekalian ikan piranha?😹","285","7","2025-09-26T11:18:44.000Z","2026-04-10T03:05:41.984Z"
"7554331801982124820","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","dilayapping1","onlyy_dil4☆ﾟ.🧚🏻‍♀️","7504425057197671440","ikan hiuu enak jirr aku makan nya aja hampir tiap hari ga keracunan😋","4","5","2025-09-26T09:45:47.000Z","2026-04-10T03:05:41.984Z"
"7554358548198671120","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","fll0werss.l0nelyy","Ifaapooke","7500973239608312848","pertanyaannya siapa yang nangkep anjj 😭😭","225","13","2025-09-26T11:32:46.000Z","2026-04-10T03:05:41.984Z"
"7554609528454152967","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","febiana_jmk48","𝚐𝚎𝚋𝚢","7491656020637664273","satu ku kalo kata guru agama ku katanya kalo bangkai ikan dan belalang itu halal l. jadi semua jenis ikan yang hidup di laut itu halal. tapi kecuali kepiting karena kepiting hidup di dua dunia maksudnya hidup di darat dan laut. jadi ikan hiu halal ya  tapi aku ga tau juga koreksi kalo salah 😁","3","2","2025-09-27T03:43:28.000Z","2026-04-10T03:05:41.984Z"
"7554314066753504001","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","animeeditzz48","~razz` °sensei`~","7412283645279667205","lah gw di Kalimantan tapi sekolahan gw belum ada tuh mbg🗿","7","4","2025-09-26T08:36:57.000Z","2026-04-10T03:05:41.984Z"
"7554328692006142721","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","ah.ah5719","@￴ ￴ ￴ ￴ ￴ ￴  ￴ ￴ ￴ ￴ ￴ ￴ ￴ ￴","7396600156030780421","HIU GORENG?😭","15","2","2025-09-26T09:33:44.000Z","2026-04-10T03:05:41.984Z"
"7554346983059424001","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","biyyyah5","biyyyah","7353238397853221894","unik sekali ya orang Kalimantan hiu segala dijadiin menu mbg 🗿 heran juga ya nangkap hiu nya gimana dah kok bisa kepikiran untuk nangkap hiu","7","3","2025-09-26T10:44:45.000Z","2026-04-10T03:05:41.984Z"
"7554313379730555668","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","thalitarahima66","Lita","6970059217315120134","ga enak jir daging hiu🗿","9","8","2025-09-26T08:34:18.000Z","2026-04-10T03:05:41.984Z"
"7554326151410647828","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","agil.aura8","agil🐾","7213644321974092826","rasanya gimana ya enak kah makan hiu🗿","11","3","2025-09-26T09:23:48.000Z","2026-04-10T03:05:41.984Z"
"7554319439718892306","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","bukan.ara5","Raaa^ ^💥","6858113807441495046","gua heran nangkep hiu nya gimana anjirr 😭😭","26","6","2025-09-26T09:00:11.000Z","2026-04-10T03:05:41.984Z"
"7554329653361165064","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","firman_2345","斐尔曼","7100756912769254402","lagian ngapain makan hiu🗿","7","4","2025-09-26T09:37:22.000Z","2026-04-10T03:05:41.984Z"
"7554328597545419527","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","dibbzz2nd","Kyoshi⚡","7343522096621175813","bukan nya semua makhluk laut itu halal ya  dan menyehatkan","4","2","2025-09-26T09:33:18.000Z","2026-04-10T03:05:41.984Z"
"7572813705659106065","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","kacungsssssss56","🕷️🕸️","7562530500805952529","saya bantu jelaskan karena saya tinggal di tempat yg keracunan hiu di daerah ini memang di perjual belikan dan nangkap nya itu di laut dekat dengan daerah itu dan hiu itu dijadikan nugget dan dimasukan kedalam mbg","0","0","2025-11-15T05:04:58.000Z","2026-04-10T03:05:41.984Z"
"7554326231031710472","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","iklanultraman_rtv","Iklan Ultraman RTV ✔","7514606100038632465","prasaan hiu GK ada racun nya dah 🗿","2","4","2025-09-26T09:26:30.000Z","2026-04-10T03:05:41.984Z"
"7554376829215523591","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","0pnosy","N","6796474960728425473","siapa si yang ngide makan pake daging ikan hiu 😭","22","4","2025-09-26T12:40:26.000Z","2026-04-10T03:05:41.984Z"
"7554351918753006343","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","ghaniyya243","Nia_irms🇦🇷","7512678770211308562","haii temen-temen aku orang ketapang  ditempat kami ikan hiu bisaa dimakan bahkan bisa jadi lauk sehari-hari  dan jenis ikan hiu gk cuman 1 ajaa ada lagi yang lainnyaa","12","3","2025-09-26T11:03:48.000Z","2026-04-10T03:05:41.984Z"
"7554337307021853457","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","jowonyel66","️","7488930003905315856","ikan hiu di makan 🦈 :lah kayak gak da harga dirinya aku sebagai predator anj","3","1","2025-09-26T10:07:07.000Z","2026-04-10T03:05:41.984Z"
